title,author(s),published__online_date,article_url,OnlineFirst (Y/N),volume,issue,in_scope(Y/NA),qualitative(Y/N),data(Y/N),code(Y/N),data + code,neither,data_gated(Y/N),data_source / apply_at,package_location,path_to_package,coverage_checked,notes
"Uneven Mixing, Network Segregation, and Immigrant Integration",Linda Zhao,2025-05-20,https://journals.sagepub.com/doi/10.1177/00031224251336471,N,90,3,Y,N,N,Y,N,N,Y,"CILS4EU (Children of Immigrants Longitudinal Survey in Four European Countries), GESIS Data Archive, study ZA5656 (full version, special application / data use agreement required): https://search.gesis.org/research_data/ZA5656",https://osf.io/5qrjg/,data availability statement -> OSF node 5qrjg,DAS (OSF link) + OSF API (node 5qrjg osfstorage files + children) + opened setup R script contents,"DAS states only code is shared via OSF (https://osf.io/5qrjg). Verified via OSF API: node 5qrjg osfstorage root holds exactly three R files and no subfolders — cils.umix.setup.jan2025.R (2.5KB), cils.umix.analyses.april2025_final.R (50KB), cils.umix.functions.jan2025.R (53KB). Opened the setup script: it sources the functions file and reads external CILS4EU .dta microdata (e.g. classmates/w1_yc_en/ge/nl/sw_v1.2.0_rv.dta) from a user-set data.path.root, then writes derived CSVs. code=Y: the three scripts reproduce this paper's uneven-mixing/network analyses. data=N: no analysis data files are deposited — the package only points to the external CILS4EU data the user must obtain. data_gated=Y: CILS4EU is restricted-access human-subjects school survey data (Children of Immigrants Longitudinal Survey in Four European Countries), not freely downloadable; the full version requires a special application / data use agreement through the GESIS Data Archive (ZA5656). Quantitative classroom friendship network analysis, so qualitative=N."
Collective Defense Mechanisms,Mustafa Emirbayer,2025-06-08,https://journals.sagepub.com/doi/10.1177/00031224251341575,N,90,5,NA,,,,,,,,,,"captured SAGE landing page (abstract; no DAS section, no repository links) + Crossref works API relation metadata","Purely theoretical article by Emirbayer (""Collective Defense Mechanisms""), single author per Crossref, type journal-article. Abstract states it theorizes collective defense mechanisms with no original empirical data analysis, so nothing to reproduce -> in_scope=NA. No Data Availability Statement present on the captured landing page and no repository links. Crossref fallback (api.crossref.org/works/10.1177/00031224251341575) returned an empty message.relation (no dataset/companion DOI). No package to verify. Per codebook v3.3, in_scope=NA -> qualitative/data/code/data_gated left blank."
Contesting the State: Embodied Threat and the Emergence of Prisoner Mobilization,David Jonathan Knight,2025-06-08,https://journals.sagepub.com/doi/10.1177/00031224251340401,N,90,4,Y,Y,N,N,N,Y,,,,"captured landing page (no DAS, no repo links) -> Crossref relation fallback (empty) -> OSF title search (no hits) -> concluded no package","captured SAGE landing page (abstract + DAS = none) + Crossref works API (message.relation empty, only SAGE PDF/XML text-mining links) + OSF node search by title (""prisoner mobilization"", ""Contesting the State"", both empty)","Empirical qualitative article: interviews with currently incarcerated and recently released men across three states, interpreted directly (qualitative=Y). No Data Availability Statement on the captured landing page and no repository links. Crossref API message.relation is empty (no dataset DOI); only SAGE text-mining PDF/XML links present. OSF searches by title returned no hits. No package located, so no repository files could be opened. data=N and code=N because nothing is deposited (no analysis data files, no analysis scripts). data_gated=N/A (qualitative) because the underlying evidence is author-collected, confidential, IRB-protected human-subjects interview data with a vulnerable incarcerated population -- inherently not freely public and with no external application route (access discretionary to the author). Note: an interview guide/coding scheme would not count as analysis data in any case."
"Abortion Policies in a Polarizing World Society, 1970 to 2020",Wade M. Cole,2025-06-09,https://journals.sagepub.com/doi/10.1177/00031224251335964,N,90,4,Y,N,N,N,N,Y,Y,"Wade M. Cole, Dept. of Sociology, University of Utah; request via wade.cole@soc.utah.edu (DAS: available from the author upon request)",none — no deposited replication package found,"DAS ""upon request"" -> no repo link -> Crossref relation empty -> OSF null -> OpenICPSR 403 -> no package",captured DAS + abstract; Crossref relation/link; OSF title search; OpenICPSR search; author affiliation via Crossref,"No replication package exists to open. Landing-page DAS reads verbatim: ""Data and code are available from the author upon request."" No repository links on the page; Crossref message.relation={} (only text-mining PDF/XML links, no dataset DOI); OSF title search returned zero nodes; OpenICPSR search returned HTTP 403 (anonymous blocked, not bypassed). Sole author Wade M. Cole (University of Utah). data=N and code=N because nothing was physically deposited on any host — only an upon-request promise, which is a pointer/mechanism, not a deposit. data_gated=Y under the codebook ""available upon request"" branch: a real access route exists (email the author) and the cross-national abortion-policy / INGO-linkage analysis data is author-held rather than freely/publicly deposited; concrete route recorded in data_source_apply_at. in_scope=Y (fixed-effects regressions on up to 160 countries, 1970-2020); qualitative=N (quantitative statistical models)."
"How Does Culture Matter for Attainment, and How Would We Know If It Did?",David Brady; Aliza Luft; Ezra W. Zuckerman Sivan,2025-07-05,https://journals.sagepub.com/doi/10.1177/00031224251344634,N,90,5,Y,N,N,N,N,Y,N,,,no DAS section captured; no repo links on page; Crossref message.relation empty (no dataset DOI); OSF title search returned 0 -> no package found,"captured SAGE DAS (none) + captured abstract; Crossref API works/10.1177/00031224251344634 (relation={}, only text-mining PDF/XML links); OSF API node title search (""How Does Culture Matter for Attainment"" and ""How Would We Know If It Did"") both 0 results","in_scope=Y: a Comment by Brady, Luft & Zuckerman Sivan on HMLS 2022 that runs its OWN empirical re-analysis (new models/corrections) of the National Survey of Youth and Religion (NSYR), so there is original analysis to reproduce. qualitative=N: quantitative re-analysis. No package located: the captured SAGE page has no Data Availability Statement and no repository links; Crossref works record for the DOI has message.relation={} (no linked dataset DOI) and only text-mining PDF/XML links; OSF node-title searches for both halves of the title returned 0 nodes. No Harvard Dataverse/OSF/GitHub/OpenICPSR deposit found -> data=N, code=N (nothing deposited, no package at all). data_gated=N: the underlying NSYR is a publicly available survey (freely distributed via the Association of Religion Data Archives, thearda.com); this is the mere-non-provision-of-a-public-source case, so no gate. WebSearch unavailable (session web-search budget exhausted); coverage limited to captured page evidence + Crossref API + OSF API."
The State and the Emergence of the First American Party System: Roll Call Voting in the New York State Assembly during the Early Republic,Benjamin Rohr; John Levi Martin,2025-07-15,https://journals.sagepub.com/doi/10.1177/00031224251344574,N,90,4,Y,N,Y,Y,Y,N,N,,https://doi.org/10.7910/DVN/JLUVYU,data availability statement -> harvard dataverse doi:10.7910/DVN/JLUVYU,captured DAS + abstract; Harvard Dataverse datasets API (persistentId=doi:10.7910/DVN/JLUVYU),"DAS points to Harvard Dataverse doi:10.7910/DVN/JLUVYU. Verified via Dataverse datasets API: released v1.0, 2025-06-11, ""Replication Data for: The State and the Emergence of the First American Party System"" (Rohr & Martin), CC BY-NC 4.0. Files (all restricted=false, openly downloadable): assemblymen.tab (data on assemblymen), votes.tab (roll-call votes data), replication_data.RData (full analysis data), replication_code.R (R script). Dataset description states replication_data.RData contains all data to run replication_code.R. data=Y (analysis data files physically deposited: votes.tab, assemblymen.tab, replication_data.RData). code=Y (replication_code.R reproduces this paper's analyses). qualitative=N: quantitative roll-call/network voting-bloc analysis on authors' novel historical legislator dataset. data_gated=N: authors' own compiled early-Republic archival dataset, deposited openly with no application/DUA/restriction."
Competence over Partisanship: Party Affiliation Does Not Affect the Selection of School District Superintendents,Greer Mellon,2025-07-20,https://journals.sagepub.com/doi/10.1177/00031224251346993,N,90,4,Y,N,N,N,N,Y,Y,"Administrative superintendent hiring/employment records linked to voter-registration party affiliation from Florida and California state agencies (e.g., FL Dept of State, Division of Elections voter-registration extract: https://dos.fl.gov/elections/data-statistics/voter-registration-statistics/ ; FL Dept of Education superintendent employment records; CA analogs) — author-constructed dataset not deposited; obtain by request from the respective state agencies. Qualitative interview data is confidential (IRB) and separate.",none found,captured SAGE page had no DAS section and no repository links; Crossref works API message.relation empty (no dataset DOI) -> conclude no package,"captured SAGE DAS (none) + abstract; Crossref works API (api.crossref.org/works/10.1177/00031224251346993) message.relation (empty {}) and message.link (only VOR pdf/full-xml text-mining links, no dataset); web search (budget exhausted, no result)","in_scope=Y: original empirical analysis (fixed-effects models on FL/CA superintendent hiring 2009-2019 plus qualitative interviews). qualitative=N: mixed qual+quant => quantitative per codebook. No Data Availability Statement in captured SAGE page (DAS = none) and no repository links listed. Verified via Crossref works API (api.crossref.org/works/10.1177/00031224251346993): message.relation = {} (no dataset/component DOI); message.link has only VOR pdf and full-xml text-mining/similarity URLs on journals.sagepub.com -- no OSF/GitHub/Dataverse/OpenICPSR package. No author-deposited package located, so data=N and code=N. data_gated=Y (quantitative): analysis data is an author-constructed linkage of state administrative superintendent hiring/employment records to voter-registration party affiliation (FL/CA state agencies) -- a register/administrative source, not an open public deposit and not deposited; paired qualitative evidence is confidential IRB interview data. No package files opened because none exist. coverage_checked lists everything searched."
Pre-emptive Repair of Potential Misunderstandings: Prospective Procedures for Managing Intersubjectivity and Steering Social Action,Chase Wesley Raymond; Virginia Teas Gill,2025-07-20,https://journals.sagepub.com/doi/10.1177/00031224251347285,N,90,4,Y,Y,N,N,N,Y,,,,no DAS and no repo links on landing page -> crossref relation empty -> no package,"captured SAGE landing page (abstract + DAS, both empty of links/DAS) + Crossref works API relation/link fields","Conversation-analysis (qualitative) study of pre-emptive repair in social interaction; analyzes recorded interaction/transcripts directly, with an appendix of transcription conventions -> in_scope=Y, qualitative=Y. Captured landing page shows NO Data Availability Statement and NO repository links (OSF/GitHub/Dataverse/OpenICPSR). Queried https://api.crossref.org/works/10.1177/00031224251347285: message.relation is empty {} (no dataset DOI); only text-mining/similarity PDF/XML links present, no data repository. Therefore no replication package exists: data=N, code=N. data_gated left BLANK per codebook (qualitative=Y -> data-gating N/A; the qualitative flag already carries why the study is not reproduced from data). No analysis data files or reproduction scripts deposited anywhere."
"Same Policy, No Standardized Outcome: How Admissions Values and Institutional Priorities Shape the Effect of Test-Optional Policies on Campus Diversity",Greta Hsu; Amanda Sharkey,2025-08-11,https://journals.sagepub.com/doi/10.1177/00031224251352432,N,90,5,Y,N,N,N,N,Y,N,,,captured DAS (empty) + captured page links (none) -> Crossref relation (empty) -> no package,captured SAGE DAS (empty) + captured abstract + captured repo links (none) + Crossref API works/10.1177/00031224251352432 message.relation (empty) and message.link (text-mining PDF/XML only),"Quantitative study (qualitative=N): uses NCES IPEDS plus colleges' publicly-claimed admissions values to model test-optional policy effects on campus diversity. No Data Availability Statement section on the captured SAGE page and no repository links (OSF/GitHub/Dataverse/OpenICPSR) present. Crossref works record for this DOI has an empty message.relation (no dataset DOI) and only text-mining links to the SAGE PDF/full-XML — no deposited replication materials. Therefore no replication package exists: data=N (no analysis data files deposited) and code=N (no scripts deposited). data_gated=N because the underlying sources are themselves public (IPEDS is a free NCES archive; colleges' claimed admissions values come from public/institutional statements) — this is the mere-non-provision case, not a restricted-data gate. (Session web-search budget was exhausted, so no supplementary external package search could be run; conclusion rests on the captured DAS/links plus the Crossref API.)"
"Corrigendum to “Racial Inequality in 8th-Grade Math Course-Taking: Between-School Inequality, Local Achievement Queues, and Course Placements”",,2025-08-12,https://journals.sagepub.com/doi/10.1177/00031224241309339,N,90,5,NA,,,,,,,,,,Read captured abstract and DAS (empty) from the SAGE page; captured repository links list was empty. No package lookup needed given in_scope=NA per codebook scope rule (corrigendum = nothing to reproduce).,"Title ""Corrigendum to Racial Inequality in 8th-Grade Math Course-Taking"" and captured abstract identify this as a corrigendum (a correction notice to a prior ASR article), not an original empirical study. No original analysis is run in a corrigendum, so there is nothing to reproduce => in_scope=NA. Per codebook, NA stops here: qualitative/data/code/data_gated left blank. No DAS section on the captured page and no repository links, consistent with a correction notice. No package search performed since scope is NA."
Rationality or Relationality in Life and Death: Regulating Organ Donation in Singapore and Taiwan,Wan-Zi Lu,2025-09-22,https://journals.sagepub.com/doi/10.1177/00031224251363928,N,90,5,Y,Y,N,N,N,Y,,,https://osf.io/ukjcx/,data availability statement -> OSF node ukjcx -> child component 9pzqn (Interview Guide),"captured DAS + abstract; OSF API for node ukjcx (root osfstorage empty), /children/ (child ""Interview Guide"" 9pzqn), and 9pzqn osfstorage file list","Qualitative empirical paper: interviews + archival/comparative-historical analysis of organ-donation regulation (Singapore, Hong Kong, Taiwan). in_scope=Y, qualitative=Y. DAS: ""My interview guide is available on the OSF: osf.io/ukjcx"". Verified via OSF API (with view_only token): node ukjcx root osfstorage is empty; the only content sits in child component 9pzqn (""Interview Guide""), which holds a single file LuWZ.InterviewGuide.pdf (73340 bytes). An interview guide is NOT analysis data per the codebook, so data=N. No analysis scripts deposited, so code=N. data_gated left blank because qualitative=Y (gate does not apply to qualitative papers)."
"The Cultural Devaluation of Feminized Work: The Evolution of U.S. Occupational Prestige and Gender Typing in Linguistic Representations, 1900 to 2019",Wenhao Jiang,2025-10-01,https://journals.sagepub.com/doi/10.1177/00031224251362351,N,90,5,Y,N,Y,Y,Y,N,Y,"Corpus of Contemporary American English (COCA) and Corpus of Historical American English (COHA), purchase/license at https://www.english-corpora.org/coca/ and https://www.english-corpora.org/coha/",https://github.com/wenhaojiangsoc/devaluation,data availability statement -> github repo,captured DAS + abstract; GitHub API git tree (recursive) for repo and data/ subtree; README.md,"DAS points to GitHub github.com/wenhaojiangsoc/devaluation; verified via GitHub API git tree (HEAD, recursive). Opened README.md and enumerated the data/ subtree. code=Y: the repo deposits scripts that reproduce THIS paper — code/analysis/main.R (main-text results/figures), appendix.R (robustness + online supplement), function.R (Ishimaru 2022 TWFE decomposition), occ1950.R (Census measure construction), and code/measures/embeddings.py, distance.ipynb, 3CosAdd.py plus code/HPC/read_ystart_yend.py & train_ystart_yend.py (word2vec training). data=Y: authors physically deposited analysis/intermediate data files, not mere pointers — census and merged/COCHA.csv, ngram.csv, occ1950.csv (+occ1950.xml IPUMS spec); DoT skills/DoT1965/1977/1991_OCC1960.dta and occ1960_1950.dta.zip; dimension and mapping/dimension-words.txt, occupation_map.csv, 1950occcode.csv; miscellaneous/dimension_correlation.csv, occ_category.csv. (README also says a merged corpus.csv can be used directly for results.) data_gated=Y: part of the underlying analysis data is not freely public — COHA and COCA are proprietary corpora that must be PURCHASED/licensed from english-corpora.org (README states they are excluded due to copyright and are for purchase); the trained decade-specific embedding vectors are hosted off-repo on Dropbox and the raw Google Ngram v2 is a public pointer (not deposited). The gate does not flip data to N because the authors deposited the cleaned/merged analysis-ready files."
