title,author(s),published__online_date,article_url,OnlineFirst (Y/N),volume,issue,in_scope(Y/NA),qualitative(Y/N),data(Y/N),code(Y/N),data + code,neither,data_gated(Y/N),data_source / apply_at,package_location,path_to_package,coverage_checked,notes
A Hidden Barrier to Diversification? Performance Recognition Penalties for Incumbent Workers in Male-Dominated Occupations,Jirs Meuris; Jennifer Merluzzi,2024-03-08,https://journals.sagepub.com/doi/10.1177/00031224241233696,N,89,2,Y,N,N,N,N,Y,Y,Proprietary employer personnel/performance records from the studied organization; no application route or provider URL given in the payload,,"no DAS, no repoLinks in payload","abstract + section headings (Data, Dependent/Independent Variable, Analytic Approach); hasDAS=false; no repoLinks","Quantitative empirical study of performance-recognition penalties using work-unit level personnel/performance data from a male-dominated occupation within an organization. No replication package: hasDAS=false and no repoLinks. data=N and code=N (nothing deposited). data_gated=Y because analysis relies on author-obtained proprietary employer performance/personnel records, which are not freely public. Restricted source not named in the provided payload."
Honor among Crooks: The Role of Trust in Obfuscated Disreputable Exchange,Oliver Schilke; Gabriel Rossman,2024-03-16,https://journals.sagepub.com/doi/10.1177/00031224241232599,N,89,2,Y,N,Y,Y,Y,N,N,,https://osf.io/6b793/ (DOI 10.17605/OSF.IO/6B793),repoLinks -> OSF project 6b793; verified via OSF API,abstract + repoLinks + OSF API check of node 6b793 and sub-nodes,"Quantitative series of survey/behavioral experiments on obfuscated disreputable exchange. Public OSF project 6b793 verified via API contains top-level 'Data' and 'Syntax' folders, and the linked sub-nodes (2qvsf, 4sj56, 2z8fd, dsr9p, 5rnm8) are OSF registrations with archived storage. Authors physically deposited experiment data (data=Y) and analysis syntax (code=Y). data_gated=N: authors' own experimental data openly deposited on OSF (a free OSF login on the hosting platform is not a gate)."
"“Stepping-Stone” versus “Dead-End” Jobs: Occupational Structure, Work Experience, and Mobility Out of Low-Wage Jobs",Ted Mouw; Arne L. Kalleberg; Michael A. Schultz,2024-03-22,https://journals.sagepub.com/doi/10.1177/00031224241232957,N,89,2,Y,N,N,N,N,Y,N,,,"no DAS, no repoLinks in payload",abstract + section headings; hasDAS=false; no repoLinks,"Quantitative mobility study building occupational-similarity measures from matched Current Population Survey (CPS) samples and O*NET job-skill data, with correlated random-effects models. No replication package deposited: hasDAS=false, no repoLinks; data=N and code=N. data_gated=N because the underlying sources (CPS and O*NET) are publicly available data archives, not restricted/proprietary."
The Culture of Censorship: State Intervention and Complicit Creativity in Global Film Production,Jun Fang,2024-03-28,https://journals.sagepub.com/doi/10.1177/00031224241236750,N,89,3,Y,Y,N,N,N,Y,,,,"no DAS, no repoLinks in payload",abstract + section headings (Data and Methods); hasDAS=false; no repoLinks,"Qualitative empirical study (qualitative=Y) based on participant observation within a global film studio and interviews with industry insiders in Beijing and Los Angeles on China's film censorship. Primary evidence is non-numeric ethnographic/interview material interpreted directly. No package deposited: hasDAS=false, no repoLinks; data=N, code=N. data_gated left blank because the study is qualitative."
Clustered Vulnerabilities: The Unequal Effects of COVID-19 on Domestic Violence,Paige L. Sweet,2024-04-03,https://journals.sagepub.com/doi/10.1177/00031224241241078,N,89,3,Y,Y,N,N,N,Y,,,,"no DAS, no repoLinks in payload",abstract + section headings (Data and Methods); hasDAS=false; no repoLinks,"Qualitative empirical study (qualitative=Y) using life-story interviews with domestic-violence survivors about the COVID-19 pandemic's uneven effects. Primary evidence is interpreted interview narrative. No replication package: hasDAS=false, no repoLinks; data=N, code=N. data_gated left blank because the study is qualitative; the human-subjects interview data would in any case be confidential and non-public."
The Cultural Consequences of Market Transition: An Empirical Examination of Rising Materialism in Twenty-First-Century China,Yang Cao,2024-04-03,https://journals.sagepub.com/doi/10.1177/00031224241240497,N,89,3,Y,N,N,N,N,Y,Y,Large-scale national survey of China (source not named in payload; likely CGSS/WVS-type survey). No apply-at provided in the captured material.,,"no DAS, no repoLinks in payload",abstract + section headings + hasDAS flag (false) + repoLinks (empty),"Quantitative study using repeated cross-sectional national survey data from postsocialist China. No Data Availability Statement and no repository links captured, so no replication package was deposited (data=N, code=N). data_gated=Y because the underlying survey microdata is not deposited here and not shown to be freely public; source and application route are not identifiable from the payload."
"Feature-Based Structures of Opportunity: Genre Innovation in the American Popular Music Industry, 1958 to 2016",Khwan Kim; Noah Askin,2024-04-27,https://journals.sagepub.com/doi/10.1177/00031224241246271,N,89,3,Y,N,N,N,N,Y,N,,,repoLink inspected: github.com/hanxiao/bert-as-service,abstract + headings + repoLinks (1) + hasDAS (false),"Computational study of ~25,000 Billboard Hot 100 songs (1958-2016). The only repoLink (github.com/hanxiao/bert-as-service) is a general-purpose off-the-shelf BERT embedding tool, NOT the authors' own analysis package, so it does not reproduce this paper (data=N, code=N). No DAS/package deposited. data_gated=N: the primary data source, the Billboard Hot 100 chart, is publicly available; the paper's constructed feature dataset was not deposited but the base source is public."
Doing Genders: Partner’s Gender and Labor Market Behavior,Eva Jaspers; Deni Mazrekaj; Weverthon Machado,2024-05-22,https://journals.sagepub.com/doi/10.1177/00031224241252079,N,89,3,Y,N,N,Y,N,N,Y,"Dutch administrative population (register) microdata, Statistics Netherlands (CBS) microdata access; obtain via CBS Microdata Services (apply at CBS; https://www.cbs.nl/en-gb/our-services/customised-services-microdata/microdata-conducting-your-own-research). DAS also directs readers to the online supplement for access instructions.",https://osf.io/qpa8d,data availability statement -> OSF project qpa8d,DAS + repoLinks + OSF API check (nodes/qpa8d/files/osfstorage),"Quantitative study on Dutch administrative population data. DAS states data are protected by a confidentiality agreement and cannot be shared; authors provide R code to replicate results at OSF. OSF API confirms the deposit holds a 'doinggenders/script' folder (code) plus 'infra' - code only, no analysis data files. code=Y (R replication scripts deposited); data=N (data not deposited, confidential). data_gated=Y: confidential administrative register data accessible only via a CBS confidentiality agreement."
"Hiring Discrimination Under Pressures to Diversify: Gender, Race, and Diversity Commodification across Job Transitions in Software Engineering",Katherine Weisshaar; Koji Chavez; Tania Hutt,2024-06-01,https://journals.sagepub.com/doi/10.1177/00031224241245706,N,89,3,Y,N,N,N,N,Y,Y,Author-collected large-scale hiring audit (correspondence) study data on software engineering; human-subjects/IRB-protected. No public source or application route provided; contact the authors.,,"no DAS, no repoLinks in payload",abstract + headings + hasDAS (false) + repoLinks (empty),"Multi-study paper; primary evidence is a large-scale quantitative audit (correspondence) study (Study 1) plus a Study 2 explaining patterns, so qualitative=N (quantitative, mixed methods). No DAS and no repository links captured -> no package deposited (data=N, code=N). data_gated=Y: audit data is author-collected human-subjects/IRB-protected data, not freely public and not deposited."
The “Dark Side” of Community Ties: Collective Action and Lynching in Mexico,Enzo Nussio,2024-06-07,https://journals.sagepub.com/doi/10.1177/00031224241253268,N,89,4,Y,N,Y,Y,Y,N,N,,https://doi.org/10.7910/DVN/JOTLND,data availability statement -> Harvard Dataverse doi:10.7910/DVN/JOTLND,"DAS + Dataverse API check (dataset persistentId JOTLND, file list)","Quantitative study using original Mexico City survey data plus a novel lynching event dataset. DAS points to Harvard Dataverse; API confirms a RELEASED, CC0-licensed deposit containing three data files (Mexico City Individual data.tab, Mexico Municipality Cross-Sectional Data.tab, Mexico Municipality Panel Data.tab) plus Replication code.do (Stata). Authors physically deposited both data (data=Y) and code (code=Y). data_gated=N: files are openly available under CC0 on Harvard Dataverse."
Civic Lessons That Last? Religiosity and Volunteering on the Way to Adulthood,Chaeyoon Lim; Dingeman Wiertz,2024-06-13,https://journals.sagepub.com/doi/10.1177/00031224241258791,N,89,4,Y,N,Y,Y,Y,N,N,,https://osf.io/kqrdm/,repoLink -> OSF project kqrdm,DAS + abstract + heads + OSF API listing of osfstorage,"Quantitative panel analysis of National Study of Youth and Religion. OSF project holds a 'data' folder with the actual analysis files physically deposited (NSYR waves 1-4 DTA files plus derived trajectory .dta files) and code folders (codes_main_results, codes_supplements, codes_data_preparation) that reproduce this paper's results, so data=Y and code=Y. Data files are publicly downloadable from the OSF deposit, so data_gated=N."
"Collaborating on the Carceral State: Political Elite Polarization and the Expansion of Federal Crime Legislation Networks, 1979 to 2005",Scott W. Duxbury,2024-06-15,https://journals.sagepub.com/doi/10.1177/00031224241257614,N,89,4,Y,N,N,N,N,Y,Y,"General Social Survey Sensitive Data Files, obtained under special contractual arrangements; apply to NORC at GSS@NORC.org",,DAS text; no repoLinks captured,DAS + abstract + heads,"Quantitative machine-learning/network analysis of federal crime legislation co-sponsorship. No replication package or repository link. DAS states some data derive from GSS Sensitive Data Files obtained under special contractual arrangements and are 'not available from the authors' — no deposit, so data=N and code=N. data_gated=Y because the underlying GSS Sensitive Data Files are restricted/confidential (special contractual, anonymity-protected access via NORC)."
Advancing Stratification Research by Measuring Non-declarative Cultural Capital: A National Population-Based Study Combining IAT and Survey Data,Jeroen van der Waal; Willem de Koster; Tim van Meurs; Kjell Noordzij; Joost Oude Groeniger; Julian Schaap,2024-07-24,https://journals.sagepub.com/doi/10.1177/00031224241261603,N,89,4,Y,N,N,N,N,Y,Y,"LISS Data Archive (CentERdata), scientific-use registration; apply at https://www.dataarchive.lissdata.nl/",,"DAS claims replication files in the SAGE online supplement, but the supplement contains none",DAS + abstract + heads + SAGE online supplement (checked: no replication files present),"Quantitative stratification study using Implicit Association Tests on a LISS survey sample. The DAS states replication files are accessible via the online supplement, but on inspection the SAGE supplement contains NO replication package (verified 2026-08-25) -> code=N. The research data 'will become freely available for scientific purposes from the LISS Data Archive' — a pointer to an external archive, not deposited, so data=N. data_gated=Y because LISS Data Archive access requires researcher registration and a scientific-purpose agreement (institutional/scientific-use gate)."
White-Collar Opt-Out: How “Good Jobs” Fail Elite Workers,Mustafa Yavaş,2024-07-26,https://journals.sagepub.com/doi/10.1177/00031224241263497,N,89,4,Y,Y,N,N,N,Y,,,,DAS text; no repoLinks captured,DAS + abstract + heads,"Qualitative empirical paper based on 70 in-depth interviews with Turkish professional-managerial employees (primary evidence non-numeric, interpreted directly -> qualitative=Y). DAS states research protocols, interview schedules, survey questionnaires, and codebooks are 'available from the author upon request' — nothing deposited, so data=N and code=N. data_gated left blank because the study is qualitative."
The Avoidance of Strong Ties,Mario L. Small; Kristina Brant; Maleah Fekete,2024-07-29,https://journals.sagepub.com/doi/10.1177/00031224241263602,N,89,4,Y,N,Y,Y,Y,N,N,,https://osf.io/h2d5v/,DAS -> OSF project h2d5v,DAS + abstract + heads + OSF API listing of osfstorage,"Quantitative analysis of new nationally representative survey data on tie avoidance. DAS gives OSF link; API confirms a physically deposited ReplicationPackage.zip (449 KB) plus ReadMe.txt containing the data and replication code for all analyses, so data=Y and code=Y. The authors' own survey data is deposited publicly on OSF (freely downloadable), so data_gated=N."
How Work Becomes Invisible: The Erosion of the Wage Floor for Workers with Disabilities,Emily H. Ruppel,2024-08-25,https://journals.sagepub.com/doi/10.1177/00031224241268201,N,89,5,Y,Y,N,N,N,Y,,,,,abstract + section headings + hasDAS flag (false) + repoLinks (none),"Qualitative comparative-historical study drawing on primary historical materials to explain 1986 subminimum-wage amendments for disabled workers (delaborization). No DAS, no repoLinks, no deposited package. data=N and code=N (no materials deposited). data_gated left blank because qualitative=Y."
Estimating the Effect of a Universal Cash Transfer on Birth Outcomes,Kiara Wyndham; Sarah K. Cowan,2024-08-29,https://journals.sagepub.com/doi/10.1177/00031224241268059,N,89,5,Y,N,N,N,N,Y,Y,"Newborn/birth outcome records are administrative vital-statistics data; apply via the Alaska Department of Health, Vital Statistics (health.alaska.gov/dph/VitalStats) or the relevant state vital-records custodian per data-use agreement. Alaska PFD dividend amounts are public.",,,abstract + section headings + hasDAS flag (false) + repoLinks (none),"Quantitative study estimating the effect of the Alaska Permanent Fund Dividend on newborn health outcomes. No DAS, no repoLinks, no deposited data or code, so data=N and code=N. data_gated=Y: birth/newborn health outcomes rely on restricted administrative vital-statistics records (individual-level birth data), not freely public; underlying analysis data not openly available."
Reiterated Fact-Making: Explaining Transformation and Continuity in Scientific Facts,Daniel Navon,2024-09-13,https://journals.sagepub.com/doi/10.1177/00031224241271100,N,89,5,Y,Y,N,N,N,Y,,,,,abstract + section headings + hasDAS flag (false) + repoLinks (none),"Qualitative comparative-historical STS study ('reiterated fact-making') tracing three genetic variants across three eras via textual/archival scientific literature. No DAS, no repoLinks, no deposited package. data=N and code=N. data_gated blank because qualitative=Y."
“It’s a Battle You Can’t Win”: Domination and Class Differences in Real-World Trust among Black Families,Karolyn Tyson,2024-09-16,https://journals.sagepub.com/doi/10.1177/00031224241278355,N,89,5,Y,Y,N,N,N,Y,,,,,abstract + section headings + hasDAS flag (false) + repoLinks (none),"Qualitative study drawing on retrospective interviews from a community ethnography of black families in an affluent school district (trust and class/status in special-education placement). No DAS, no repoLinks, no deposited package. data=N and code=N. data_gated blank because qualitative=Y (and human-subjects interview data would not be openly deposited regardless)."
Flexible Austerity: Negotiating the Unequal Effects of Resource Shortages in Racialized Organizations,Alexandra Brewer,2024-09-21,https://journals.sagepub.com/doi/10.1177/00031224241282307,N,89,5,Y,Y,N,N,N,Y,,,,,abstract + section headings + hasDAS flag (false) + repoLinks (none),"Ethnography of an urban academic hospital examining 'flexible austerity' in pain care before and during a nationwide IV opioid shortage; primary evidence is ethnographic/observational, interpreted directly, so qualitative=Y. No DAS, no repoLinks, no deposited package: data=N and code=N. data_gated blank because qualitative=Y."
How Radio Affects Violent Conflict: New Evidence from Rwanda,Hollie Nyseth Nzitatira; Trey Billing; Jared F. Edgerton,2024-09-22,https://journals.sagepub.com/doi/10.1177/00031224241278905,N,89,5,Y,N,N,N,N,Y,Y,Author-collected new data on Radio RTLM coverage + Rwandan subnational genocide-participation records; no public source or apply-at given in payload — contact corresponding author.,,"no DAS, no repoLinks in payload",abstract + section headings + hasDAS flag (false) + repoLinks (none),"Quantitative empirical study of Radio RTLM coverage and genocidal violence onset/participation in Rwanda. hasDAS=false and no repoLinks: no replication package located, so data=N and code=N. data_gated=Y because the analysis relies on authors' newly collected radio-coverage data and subnational genocide-participation records, which are not freely/publicly available and were not deposited."
How Sexism in Institutions and Everyday Interactions Shapes Early Childbearing,Jessica Houston Su; Kelly Musick,2024-10-31,https://journals.sagepub.com/doi/10.1177/00031224241291602,N,89,6,Y,N,N,Y,N,N,Y,"Add Health (National Longitudinal Study of Adolescent to Adult Health), Carolina Population Center, UNC-Chapel Hill; restricted-use contract via https://addhealth.cpc.unc.edu/data/",https://www.cpc.unc.edu/projects/structural-sexism-and-early-childbearing/ (replication do-files: sexism-replication-do-files.zip),data availability statement -> project webpage -> downloadable replication do-files zip (verified via curl),DAS + abstract + project webpage curl (found sexism-replication-do-files.zip),"Quantitative event-history study using Add Health merged to state/county/school measures of structural sexism. DAS points to a UNC project webpage; curl of the page found a downloadable zip of Stata replication do-files, so code=Y. No analysis-data files are deposited (only do-files; Add Health microdata is restricted and cannot be redistributed), so data=N. data_gated=Y because Add Health individual-level data is restricted-access."
"Racial Inequality in 8th-Grade Math Course-Taking: Between-School Inequality, Local Achievement Queues, and Course Placements",William Carbonaro; Kenya Lee; Amy G. Langenkamp,2024-11-05,https://journals.sagepub.com/doi/10.1177/00031224241289935,N,89,6,Y,N,N,N,N,Y,Y,Underlying education microdata not named in payload (school-level 8th-grade math course-taking with between/within-school structure implies a restricted NCES-type survey); no source/apply-at given — contact corresponding author.,,"no DAS, no repoLinks in payload",abstract + section headings + hasDAS flag (false) + repoLinks (none),"Quantitative study of racial inequality in 8th-grade math course-taking using between/within-school decomposition. hasDAS=false and no repoLinks: no replication package located, so data=N and code=N. Dataset is not named in the payload; no evidence of a public deposit, and school-linked student microdata of this kind is typically restricted, so data_gated=Y (low confidence on exact source)."
Abortion and Women’s Future Socioeconomic Attainment,Bethany G. Everett; Catherine J. Taylor,2024-11-10,https://journals.sagepub.com/doi/10.1177/00031224241292058,N,89,6,Y,N,N,N,N,Y,Y,"Add Health (National Longitudinal Study of Adolescent to Adult Health), Carolina Population Center, UNC-Chapel Hill; restricted-use contract via https://addhealth.cpc.unc.edu/data/",,DAS present but only describes/acknowledges Add Health; no replication-materials link and no repoLinks,DAS + abstract + section headings + repoLinks (none),"Quantitative two-study analysis of abortion and women's socioeconomic attainment using Add Health. The DAS only acknowledges Add Health funding/design and gives no replication-package link; no repoLinks provided, so no package located: data=N, code=N. data_gated=Y because Add Health individual-level data is restricted-access."
Is Meritocracy Not So Bad After All? Educational Expansion and Intergenerational Mobility in 40 Countries,Herman G. van de Werfhorst,2024-11-19,https://journals.sagepub.com/doi/10.1177/00031224241292352,N,89,6,Y,N,Y,Y,Y,N,N,,https://osf.io/8br39/,data availability statement -> OSF project 8br39 -> osfstorage/code/ (verified via OSF API),DAS + repoLinks + OSF API check (osf.io/8br39 osfstorage listing),"Quantitative decomposition study of educational expansion and intergenerational occupational mobility across 40 countries. DAS says 'replication code' on OSF 8br39; OSF API shows a code/ folder holding Stata .do scripts (01_ISSP_OED_dataprep, 02/03_OED_ess_dataprep/analysis) AND analysis-data files validcc.dta and unicap.dta. Because the authors physically deposited the country-cohort analysis .dta files alongside the scripts, data=Y and code=Y. data_gated=N: the deposited analysis data is public on OSF and derives from open cross-national archives (ISSP/ESS)."
Misery Needs Company: Contextualizing the Geographic and Temporal Link between Unemployment and Suicide,Byungkyu Lee; Bernice A. Pescosolido,2024-11-19,https://journals.sagepub.com/doi/10.1177/00031224241288179,N,89,6,Y,N,Y,Y,Y,N,Y,"Core individual-level suicide death microdata from CDC restricted-use mortality/NVDRS (National Violent Death Reporting System) — apply via CDC NVDRS Restricted Access Database (RAD), https://www.cdc.gov/violenceprevention/datasources/nvdrs/",https://doi.org/10.7910/DVN/UWJWKA,"repoLink (Byungkyu Lee Harvard Dataverse, alias 'bk') -> Dataverse search -> 'Replication Data for: Misery Needs Company' dataset","repoLink + Dataverse API (dataverse contents, search, dataset file listing) + abstract","Verified deposit (DVN/UWJWKA, 167 files): full R and Stata scripts (.r/.do) reproducing all figures/tables = code Y. Authors also deposited substantial analysis data files (county population, land area, PUMA/CZ crosswalks, monthly unemployment, state UI benefits, plus aggregate/model-output tables and marginal-effects CSVs) = data Y. However the primary analysis object — individual-level U.S. suicide deaths 2005-2017 (restricted CDC mortality / NVDRS occupation-coded microdata) — is NOT and cannot be publicly deposited, so data_gated Y."
Care Labor and Family Income Inequality: How Childcare Costs Exacerbate Inequality among U.S. Families,Pilar Gonalons-Pons; Ioana Marinescu,2024-11-22,https://journals.sagepub.com/doi/10.1177/00031224241297247,N,89,6,Y,N,N,N,N,Y,N,,,,payload: hasDAS flag + repoLinks + abstract + section headings,"Quantitative empirical study; individual fixed-effects on SIPP merged with state childcare prices. Payload has hasDAS=false, no DAS text, and no repoLinks -> no replication package located, so data N and code N. Underlying SIPP is public-use Census data and state childcare prices are public, so data_gated N (no restricted data indicated in payload)."
Is Separate Still Unequal? New Evidence on School Segregation and Racial Academic Achievement Gaps,Sean F. Reardon; Ericka S. Weathers; Erin M. Fahle; Heewon Jang; Demetra Kalogrides,2024-11-30,https://journals.sagepub.com/doi/10.1177/00031224241297263,N,89,6,Y,N,N,N,N,Y,N,,,,payload: hasDAS flag + repoLinks + abstract + section headings,"Quantitative empirical study estimating segregation effects on racial achievement gaps using 11 years of data from all U.S. public school districts (achievement data consistent with the public Stanford Education Data Archive plus public NCES district segregation measures). Payload has hasDAS=false and no repoLinks -> no replication package located, so data N and code N. Sources named are public, so data_gated N."
Acknowledgment of Referees,,2024-12-07,https://journals.sagepub.com/doi/10.1177/00031224241291634,N,89,6,NA,,,,,,,,,,title + payload,"'Acknowledgment of Referees' — a referee/reviewer thank-you list with no abstract, no headings, no content captured. Nothing to reproduce -> NA."
Index,,2024-12-07,https://journals.sagepub.com/doi/10.1177/00031224241305962,N,89,6,NA,,,,,,,,,,title + payload,"'Index' — a volume index with no abstract, headings, or content. Not an empirical article; nothing to reproduce -> NA."
